car_model_year,car_model,credit_card,full_name
2005,A8,374622479476011,Pauline Treslove
1996,Caprice,4905975331373661814,Bertina Angelo
2007,QX,4041595081308,Ado McVanamy
1988,SJ,201446003550557,Yelena Tanfield
2013,GS,060406377726204700,York Shortland
1986,900,5610191783790171,Guy Kellard
1987,Type 2,490524877970198678,James Kermath
1995,Mustang,5610420280333619,Tiphany Menaul
1998,Tahoe,63046177347014680,Silva Demare
1967,Country,5602228012196646,Hobart Gabbitus
2003,Silverado 3500,630440655406826274,Philippe Kmieciak
2000,Accord,675987899517721081,Alverta Braz
1995,Supra,3559666109790698,Norma Merida
2010,Silverado 2500,4017950195842439,Minnnie Stredder
2008,FX,3567480924992814,Eberto Laying
2009,Savana 2500,3560711986244422,Charisse Slimme
2007,Outback,56022217754067235,Welby Jepperson
2000,Safari,5602233312508177,Elwood Moberley
1989,LTD Crown Victoria,201711256640433,Dulce Jillions
2012,1 Series,3545339580465761,Ninnetta Ortas
2011,GT-R,5194734102072799,Ward Dutson
2003,Bravada,3584213230230994,Eleonora Moodycliffe
1997,Avenger,201936543312120,Isador Norcott
1990,Festiva,201630884076846,Tansy Abthorpe
1998,Land Cruiser,3553698562413720,Sharlene Girard
1998,Concorde,3553194806230484,Gipsy Scoyne
2003,RS6,3583238239593705,Elmo Brassington
1993,Stylus,3551566242862453,Harley Delicate
2005,Accord,3554108862412892,Gabriela Soames
1989,Topaz,3545136453362632,Jordain Rowney
1990,100,4405432581842091,Osbourne Hartigan
1960,Rockette,675991130443248419,Maggy Mochan
2002,Santa Fe,3577713053071713,Anna-maria Martijn
2009,Tiguan,201825113364977,Tammi Tylor
1993,Vandura 2500,6771065603507369224,Cordula Checcucci
1996,9000,5602242788906470337,Hayyim Corris
2004,Bonneville,30525972874697,Alex Carbett
2009,xB,3528967551792150,Emma Babidge
1989,944,633492559685720342,Isidoro Villaron
1988,E-Class,5100138723559643,Tamiko Thunnercliffe
1998,Venture,3550468130018200,Obadias Theobald
1998,Q,5010125974873814,Jannelle Perry
2009,Solstice,5048378773736189,Brig Cosh
2009,Aveo,3555336984010794,Babette Drew
1999,Catera,5101487287069328,Guenna Strover
2011,Explorer,3532100788785490,Karlotta Heineking
1997,Pathfinder,201987527516863,Meggi Friedlos
2003,XC70,6377369860394296,Blake Payn
2004,Gallardo,3546936727118341,Jule Imason
2007,Escalade EXT,3528646997702177,Bunny Peascod
2011,Sierra 3500,5100176658530494,Genevieve Caswill
2012,Flex,5602252531223939,Tomas Coey
2008,Canyon,3555170396705364,Hilarius Kornousek
2005,RL,3585355848555327,Lisle Negal
2004,S80,3546774309303118,Thorpe Biaggetti
1998,Mountaineer,3580740340885196,Farr Allard
1991,MX-6,3546259401548273,Cammi MacKimmie
2009,Viper,6334747306287214254,Aguie Brodley
2011,DB9,4026788036899195,Golda Sawley
1992,Sportvan G20,3580605703032779,Obadias Laverock
1998,Ram Van 3500,30010215706675,Michell Waberer
1993,S-Class,503841423975755919,Elva Terrazzo
2003,Crown Victoria,3588886862989452,Clary McCarthy
2006,Canyon,3529853455097988,Tani Richard
2000,SC,201879104810449,Charmion Ginie
1994,Expo,5602212637920309,Leigha Kilfether
2012,Corolla,5424683233485754,Monro Finlaison
1994,Aerostar,4026486465364829,Arleen Mauchline
1999,Dakota,201996140127750,Killian Cranson
1993,Vandura 1500,201930284851941,Stanislaus Jakoubec
1986,Passat,5489216234958966,Teddie Fennelly
1994,Vigor,4041374399828351,Cy Jakoviljevic
2012,RX Hybrid,6771775319873287202,Theodosia Weippert
1993,Maxima,4405208035910795,Mikol Girardey
1996,Bronco,3530935668333461,Bev Drayton
2002,Voyager,4917045282535227,Murielle Andrus
1997,M3,676759654726931748,Land Merida
2000,626,347277126216403,Christopher Lauxmann
1992,Vandura 1500,3536756041290721,Jeramey Pentland
1993,SVX,3580412697105897,Toni Scholl
1997,Dakota Club,3583764037598711,Henriette Bucknall
1990,XT,6762512409855995,Viviana Spurman
1992,Trans Sport,5166588640940899,Myrna McLinden
2010,Cayman,50205329178116910,Melanie Wickham
2009,Versa,3583222159693729,Pembroke Yakunkin
1994,Rally Wagon 2500,5010127842594952,Carlin Klaaassen
1997,Prowler,3570260101763195,Wendell Greenham
2012,S4,5516484745303422,Emmalynne Petrichat
1998,Aurora,201930664022188,Sonnie Noir
2008,Explorer,5010123074394831,Chastity Setterington
1992,Mirage,3582362226167751,Ransell Guillond
2010,H3,201414550123392,Aldus Switzer
1994,2500,5553657758129792,Caitrin Maciaszczyk
2008,RL,3576885190910507,Isabelle Gillicuddy
2007,B9 Tribeca,3555204961924884,Sondra Hastewell
1997,Sable,3564189116631196,Miriam Guido
2011,Elantra,67718138880456439,Loretta Smallpiece
2005,Ram 3500,3558241995757127,Timothea Heffernan
1998,ES,3583540572812349,Neile Gunner
1984,GLC,3534280066923019,Theodoric Growcock
2012,S60,3529387092980447,Sula McKew
2004,Crown Victoria,6397180855468342,Arlen Bockin
1992,Dakota,3537218081803615,Osbourn Halksworth
1993,Silhouette,5893228881514308081,Bink Povey
2003,Town Car,3576506700226479,Lars Maundrell
2006,CTS,5602225367892647,Torrin Ceyssen
2012,Expedition EL,5602233784787473236,Kassi Laterza
2006,Golf,3545898993488496,Karisa Aitcheson
1998,Breeze,5100170203191605,Saunder Bleaden
2003,Protege,6392811696820177,Vannie Hannant
1996,Grand Am,3555457863314675,Brnaba Cochet
1989,XT,3540990722324251,Lori Burner
2004,Crown Victoria,6759609214236158,Larisa Formigli
2009,XLR-V,5556853552102955,Bank Thomas
2004,Express 1500,5501561271811451,Carlota Ivasechko
2012,MKT,3587482912101289,Ahmed Sidey
2003,Venture,3568000332566957,Augustine Braunthal
2001,Xterra,3533408934086963,Kore Birdsall
1994,Rodeo,3546502709452627,Mia Songest
2004,New Beetle,3588717996804368,Craig Beckingham
2008,Caliber,3577679933145193,Mil Santorini
1989,Mirage,6709756421917343,Alla Mitro
1994,Mighty Max Macro,675946431885917347,Michale Banaszczyk
2009,F350,5602251749548087,Elsi Salzburger
1972,Grand Prix,3570474488729014,Manya Thonason
2006,RL,3563564646168300,Germain Clout
2010,GT-R,3588804087050232,Gardy Tolson
1994,Camaro,3548031852112216,Christal Kahane
1997,Land Cruiser,201782812462323,Ilise Phillcox
2000,Cougar,4903192359758214729,Ericka Wiz
2002,E-Class,4041598513470407,Melody MacColgan
2009,Tribeca,201621007125891,Rabi Najera
1992,Ramcharger,3563688198680576,Giavani Stiger
1984,Vanagon,564182647259703919,Regine Gaukroger
1983,Alliance,3581283085691643,Siana Marieton
2008,Mazdaspeed 3,5893919064940380,Sada Free
1986,W201,5100178679011934,Giuditta Cauthra
2008,GX,5383192583699872,Ariella Honniebal
2007,Grand Vitara,5453348358237471,Rebeca Garett
2009,TL,3554655052163180,Nehemiah Charette
2008,Optima,5108758614539222,Rodge Viveash
2012,MKX,30544532472595,Stephi Colam
1992,F-Series,3558489814725383,Myrilla Meiklejohn
2002,Ram Van 1500,201871159066449,Humbert O'Keefe
1998,Blazer,4844320960536526,Georges Ryton
1968,GT500,3564515392232665,Lamar Munsey
1993,Beretta,3531699464990994,Dana Floodgate
2004,Wrangler,3554351898618328,Janessa Lanigan
1993,7 Series,337941897571211,Dalia Rhyme
2010,DTS,3547841656784213,Kata Beveridge
2010,DBS,30408496513770,Bancroft Rocca
2010,Cooper Clubman,3533912592902759,Nikolos Putley
2000,Sonata,5602227252047758,Tami Youings
1995,Impala SS,630465434552280052,Muffin Duesberry
2000,Diamante,3570977381545352,Gerrard Tante
1994,Miata MX-5,3534180539842897,Shelley Langthorne
2006,CTS-V,3580299145354494,Raoul Gaenor
2010,Silverado 1500,3585958362428589,Candida Housegoe
1992,740,3573657484694920,Tim McIlvoray
2010,Compass,5602246694212143,Seth Coale
2001,Sierra 2500,3536090646381903,Patrice Ikin
2003,Dakota,30546133152344,Ludvig Bruins
1997,Bonneville,5610690366993987,Donnamarie Anders
1995,Coachbuilder,3532934045399053,Georgie Hacket
1999,RX,3589490234546618,Ruttger Johnston
2005,TL,30173783052805,Bastian Worsalls
2005,4Runner,560225021493827099,Debra Seefeldt
1909,Model T,3584743352412525,Audre Spencley
2012,Discovery,3585410375764709,Glennis Feenan
2011,Yaris,201818282472606,Halie Annatt
1997,T100,5602216134659070,Mead Gobel
1995,Golf III,5226792264295683,Melvyn Van der Spohr
1989,90,5602217893253519,Veradis Brandenburg
2006,Sienna,5142586507985915,Marcille Prendiville
2003,Savana 2500,3543706542219498,Sheeree Whapples
2005,Cayenne,503896965209607187,Kippar Makin
2000,MPV,346298480216780,Nat Quartermain
1997,Riviera,67615419373694106,Poul Labrum
2011,MKX,3586112794476456,Aline Coie
1985,Civic,6379631631344415,Helaina Gantz
2009,Taurus X,3547943893479571,Rockie Bastie
1968,Corvette,3553113892292885,Hogan Leger
1996,Oasis,6762162102697139167,Babita Hartzog
2012,Edge,6759040399119174780,Madeline Managh
2010,Escalade EXT,675919025183804984,Carissa Clerk
1992,240,4865045682659678,Starlin Casaccio
1990,ES,633361879701356618,Marc Hillhouse
2007,3 Series,36174816280110,Ros Stainsby
1993,Ram Van B350,30580031722452,Berty Skeggs
2008,Mark LT,36987843864279,Linnie Foot
1994,Skylark,349435577693060,Thatcher Dinnage
1994,Beretta,6761862132680264,Randa Macken
1987,GTI,6762475164300658,Hale Trengrove
2007,300,5145268761129830,Kaitlin Rodda
1990,Laser,3543662320529774,Engelbert Gosnoll
1984,Corvette,5405897930921613,Vanya Waszczykowski
2002,Protege,3543284384991731,Cornell McIndrew
1997,Tiburon,3560917128096931,Osbourn Tipton
2009,Yukon XL 1500,3583160097638374,Kiel Mountlow
2009,Explorer Sport Trac,4508357811950552,Ameline Barendtsen
1997,QX,3528574698111896,Allister McGahern
2000,Stratus,3581983679239978,Emiline Spry
2006,612 Scaglietti,4508767990823810,Micaela Vasyukhichev
2004,QX,3564600357987246,Anjanette Backshell
2008,Ram 3500,633357634674174142,Lind Balcombe
2009,Silverado 1500,5602236945837319,Lonny Lithgow
2005,Reno,3561230943372480,Joell Bonnefin
2007,i-370,5602237944190973,Lexine Kornilyev
1994,Shadow,30534107881379,Myrvyn Camilletti
2000,S4,67099581247862899,Kaleb Fochs
2005,GT,201417220869559,Boigie Mably
2002,PT Cruiser,5007669002838690,Lissa Ponder
1995,Truck,675982707161969978,Elsey Palliser
2012,Traverse,3556232751116451,Pearle Joisce
1997,Supra,3588004999838770,Yelena Woodfine
1994,7 Series,3548207294359397,Josselyn Kittow
1998,Golf,201975244987186,Merola Southernwood
1995,Mirage,3581780612873701,Bradney Baike
2012,Enclave,6304447338932249571,Shannan Dani
1993,2500,5002350417563034,Malia Claypool
2010,E150,3583484086898553,Rodolph Mesant
2012,X5,3541083301424749,Lanny Coghlin
1998,Continental,201751438350089,Rosalie McGurk
1996,E-Series,491187444868990504,Bobinette McWhan
2009,Veracruz,370340905640043,Klarrisa Joska
2012,Insight,3537829779793379,Purcell Cherrison
1997,Hombre,30136509210817,Chelsae Pluvier
2003,Legacy,3533502292506024,Wallie Simmgen
2003,Pilot,5893312976736749901,Amanda Patzelt
2002,Regal,3554204920078823,Min Heintze
2009,599 GTB Fiorano,3534012709217180,Julee Truelock
1990,90,3550403081934212,Normand Lewson
1996,DeVille,3589332029079043,Prissie Canavan
1983,Sunbird,5553684945939974,Amber Garlinge
1991,MPV,3528736904857824,Tessi Crat
1986,Fiero,3557900811230475,Jan Narup
2005,TSX,374283112974134,Charis Attryde
1999,Taurus,3563371253626566,Cornie Dudny
2004,Explorer Sport Trac,3577706502695348,Gustie Nears
1995,Vandura G1500,5581922850532467,Donovan Whife
1992,GTO,63044214182558729,Taryn Tylor
1985,Thunderbird,5602253812427021001,Ashton Lyster
1994,Escort,201620382298950,Rani Tague
2002,626,3547805392521569,Eduardo Tierney
1998,Sportage,5010120180906185,Obie Liebermann
1993,Impreza,374288198607227,Farley Morman
2007,Arnage,4913920068514535,Cad Cholerton
2000,Blazer,3538442001104776,Muire Swanbourne
2000,Frontier,6396866454082002,Ogden Whightman
2009,Explorer Sport Trac,6376799666283601,Jacques Wiffill
2003,Accent,30522092351573,Nell Monteaux
2011,370Z,4917777628982206,Caterina Corlett
2002,Santa Fe,493616316641011096,Carmine Currum
2004,Element,3576229344701357,Ingunna Groombridge
2009,Tiguan,6771683415844064,Carmine Chisholm
1993,Excel,3579037985302295,Alissa Jayes
1994,Skylark,3570242501592812,Leonerd Olenchikov
2008,C-Class,3540472956670998,Eduino Charle
1997,Land Cruiser,5108754952598649,Dorella Parvin
1992,Firebird,5345880653582740,Shari Shilvock
2009,F350,3541348349210206,Geri Flemming
2011,Frontier,372301755392521,Gard Cooney
2002,Grand Prix,63040112332417438,Enriqueta Bremond
2012,Venza,3537356089334223,Kaile Bodill
1994,Mustang,560225920238420286,Nigel Suddaby
1995,Golf,5602222750513641,Alexei Garber
2010,Grand Marquis,3556498817939778,Vivien Bedder
2011,CLS-Class,560222843231215490,Cathleen Geddes
2004,Grand Prix,6334766299631818696,Heath Akeherst
2008,LR2,6333984501117641940,Cobbie Lakenden
2006,Taurus,3553099695425527,Garvey Hankinson
2010,Cayenne,5322560973729414,Elia Milward
2000,3500,3574535932239754,Florrie McCalum
2004,Corolla,3577306422848240,Nichols Kamienski
2007,Tucson,3566537301257342,Carina Treagust
2012,Edge,3566861132025029,Rozanna De Hoogh
1999,Rodeo,3528007198960744,Abel Jordan
2006,Jetta,56022480048048334,Rhea Van der Merwe
1987,Sunbird,3588227436384468,Bryn Oxherd
2003,300M,3564010372300922,Norrie Simon
2000,Sephia,5048373351898329,Ephraim Hush
1994,Sonata,3531500186673993,Kym Melvin
1993,Jetta,3534713211666208,Wyn Wilmore
2006,M3,3579299879797648,Torrin Loosely
2005,E350,3547617986607302,Carrol Scudder
1990,Firefly,3580909950991632,Shelba Chark
1999,Bravada,50180081956545187,Michale Patershall
1983,Alliance,5252390612458413,Dorree Clevely
2003,Aurora,374283161335492,Gregorius Giffaut
2013,Veloster,3587874605874190,Noemi Willgrass
1994,Alcyone SVX,675947972370695350,Lauree Ryle
1992,RVR,3533573651441046,Fredericka Grumble
1993,S10,3575890519722048,Robbyn Pallent
1984,Quantum,30020569669437,Matthew Crut
2009,Taurus,5602255015865513,Ahmed Raffon
2010,Range Rover Sport,493607849679232045,Joaquin Charrette
2008,E-Series,502029620282793071,Xaviera Sey
2011,CLS-Class,6771937748002862953,Loralyn Beevens
2004,Exige,3566104654083013,Aubert Sancraft
2005,Gallardo,3575429987596178,Lewes Sawdy
2006,Pajero,5610109096887757,Linnea Nance
2011,S4,6304776650546755418,Dalli Barnby
2008,M-Class,3575941136008087,Seka Fritchley
2011,1500,6333920566303804799,Laurene Wixey
2002,Ranger,5602223864789606,Nyssa Gruszczak
2005,Sedona,374283885092809,Katleen Koche
2002,CLK-Class,3541570807467974,Tedi Schroeder
1995,Mustang,4405919792978045,Florrie Dimitriou
1985,Starion,4041373811983,Hali Debling
2008,G-Class,30014855632753,Elfrieda McTeggart
1972,Camaro,3570171717800463,Chiquia Jikylls
1999,CLK-Class,3534863648929230,Vale Pettitt
1988,Cougar,3577182871686948,Vergil Knoton
2005,Savana 1500,564182506067734807,Vilma Niccols
2006,XLR-V,3584092833502045,Edgard McGavin
2012,Fortwo,5048377613291140,Micky Saunt
1989,Firebird,5010121156138589,Ursulina Coltan
2012,9-3,4041599795689,Ava Hackworthy
1996,Pathfinder,201666083088570,Novelia Harriskine
1991,MX-5,3578448754187547,Aubrette Hinrichs
2004,MX-5,3564594058573191,Nancee Pledger
1999,Cougar,3581961835524269,Gar Wogan
1957,600,3558894023517630,Thadeus Jell
1959,Corvette,3567428591119559,Terrie Hunnicot
2009,X6,6761204715354399,Britta Foynes
1993,SJ,6762303275053642733,Dionysus Yanyshev
2005,Focus,30031915457468,Candis Goldthorp
2005,Escalade EXT,5602232746181999,Salomo Issitt
1970,914,4903954577826066,Gillie Rocco
2011,Ranger,5641820738800602665,Inge Stanett
1984,Biturbo,6767460695002986,Gallard Crabbe
2012,G-Class,5610252159200052,Robin Andersson
2007,Arnage,3577292852620764,Web Gerty
2003,Spectra,344338605327799,Kare Vennings
1995,LS,5100138962939803,Gill Giocannoni
2007,S8,30527529244150,Timmy Regler
1995,Skylark,3562434714643876,Frieda Venables
2001,Corvette,4405353644519163,Reeta Pringley
1995,MR2,30025820004696,Bari Kelsow
1989,Aerostar,3584372406871229,Chrotoem Trotter
1996,Econoline E250,3581172987418694,Adaline Fanner
2005,Optima,5602233170573289,Reade Yesenev
1993,Passat,201588090553547,Rockie Purver
1996,DeVille,3587968662821233,Mohandis Rosenwasser
2003,Gallardo,491161476833862913,Dudley Hardison
2010,Miata MX-5,3546999666893597,Florella Dana
2008,S4,4508407208603767,Clark Kitcher
2010,RX-8,6759866614294100,Bamby Barrell
2000,Discovery,374622950160324,Celene Cawker
1975,Monza,30209516497980,Bernarr Mangenot
2009,Challenger,379069223237213,Anissa Danbrook
1995,Blazer,56022475968115055,Barney Rodman
2003,Bravada,501849995001165466,Alida Tweddle
1992,Thunderbird,30535046060397,Marcelle Wyre
2001,H1,374622557034088,Jeddy Townes
1993,940,4175006954460000,Alexander Bagby
2004,CTS,3531866767563600,Ellene Snape
2010,Corolla,3552983309125642,Sibylla Jermey
2006,Explorer Sport Trac,5048370300757283,Heloise Tezure
2009,LaCrosse,4041379213324057,Tobiah Caffin
2005,Freelander,3582501843368454,Alta Ahlf
2011,Cooper Clubman,3536097485018603,Vanna Gentry
2003,CR-V,56022484108536501,Berget Kellar
2012,Sprinter 2500,3530083798388475,Hugh Sholl
2011,Corvette,3536748923396445,Mose Sills
1997,Suburban 2500,5108756876507135,Elvis Babin
2001,Grand Cherokee,5602229709537019,Barnebas Busen
1990,Fox,4917822310751426,Dorri Prandoni
1993,Talon,3581768668498036,Portie Stockley
2001,Integra,201883189258797,Alameda Branthwaite
2009,Typ-1,3545952410814659,Renata Cassell
2002,Prius,3533807694629831,Leonerd Readwin
1991,Park Avenue,30139459783734,Kassia Ruffles
2010,Grand Cherokee,3569066877362473,Lacey Coulthard
1985,Type 2,63049713183926970,Findlay Dennehy
1993,Explorer,633338104602356686,Deck Woollaston
2004,Yukon XL 1500,3574879177709570,Eugenio Clowney
2003,300M,3540297110284216,Loutitia Dodshun
2011,XC90,372301734987003,Stavro Spurling
2011,RL,3528595758245779,Myrtia Domican
2008,9-3,3568514645293406,Fields Wressell
2003,XG350,6762468779616220367,Barnabas Crewther
1997,Park Avenue,5542270256349575,Benoite Croci
1993,G-Series G10,6397021727083762,Jorry Wiffen
2001,Accord,3544921560985248,Wyn Acott
1997,Grand Prix,3538172148492814,Kellby Skeels
2007,Tiburon,4041593341023692,Buck Keyson
2007,Phantom,3577590259959655,Graehme Strover
1986,6000,3531325137767391,Chryste Bentsen
1993,Maxima,4913154657233808,Kiersten Thompsett
1984,Marquis,4913810520675323,Sharai Jacqueminet
2011,Highlander,3579313074818420,Wandis Goldstraw
2011,Challenger,374288260255517,Joachim Shelly
1994,Corvette,344516593737398,Kasper Dillamore
1964,GTO,676183236688256276,Nessa Crates
1992,Trans Sport,4727304801065,Agata Huccaby
2012,Flex,5602224219725816,Anallise Vevers
1995,Club Wagon,374622130471757,Sheryl Orgen
1994,LeSabre,5002351352855260,Nelli Madrell
1988,Festiva,6389849885095552,Garner Gunny
1992,Continental,5100177655792335,Jeffie Eggleston
1993,Storm,4046483690918152,Bartlett Vondruska
2008,Veracruz,3539134763733012,Stormie Wodham
2001,Elantra,3537714892785223,Cass Priscott
2002,Aurora,3552196455795734,Doti Ogg
2000,Corvette,4041379163840268,Shane Kidney
2009,5 Series,5100173340734915,Marley Vurley
2004,Esprit,5641823562746606193,Mortie Jobke
2007,Rondo,5100134417740524,Barton Pretswell
1994,240SX,5100143090358850,Ursulina Ravenhill
1996,NSX,5602225102168861491,Caye Greally
1996,Safari,56022149238472634,Willey Porkiss
2004,545,3540591956957442,Charil Cowsby
1992,Civic,3567281494667376,Raleigh Iacapucci
2012,i-MiEV,3548352380834695,Valry Grew
1992,Yukon,67098445199175422,Hobey Delion
2002,Mountaineer,633373697784881047,Meghan Sivyer
2004,S4,63048604445143945,Worthy McLagan
2007,Tribeca,4041378337736493,Zitella Teare
2000,GTI,5100175475620389,Ettore Hars
2006,Ram 3500,3586432707432630,Cynthea Lillico
2006,Avalon,3575332260783101,Munroe Pates
1996,Mystique,5893410290591692,Sigrid Pinkney
2005,Aveo,3577487211360132,Sile Du Fray
2004,Z4,56022262061299006,Leonidas Milnes
